file,stage,r2,mae,mse,with_outliers
data_30.parquet,train,0.7573659746383647,59017.02031642852,15517342373.831985,True
data_30.parquet,validation,0.4666739343373598,108017.63063548914,29870380518.48905,True
data_30.parquet,train,0.7057381838502111,59444.93679794015,17385126291.46994,False
data_30.parquet,validation,0.393279169503979,121686.47617407041,33981054447.231323,False
data_Alacant.parquet,train,0.5101286860360653,122266.49808534687,158077540180.48804,True
data_Alacant.parquet,validation,0.6967965529550082,105070.61096306471,64097757584.54156,True
data_Almería.parquet,train,0.6544670894012625,49740.087494824016,7777369396.746697,True
data_Almería.parquet,validation,0.5005402065593618,52542.80102632357,6702667371.467231,True
data_Barcelona.parquet,train,0.691965308360067,75265.86833924452,30583610828.077396,True
data_Barcelona.parquet,validation,0.6744737477138284,59718.31681463392,16567813003.70815,True
data_Cantabria.parquet,train,0.6467372112672549,54926.78637908497,7759973393.626021,True
data_Cantabria.parquet,validation,0.6988450569755649,73859.46728316326,17369994490.768974,True
data_Castelló.parquet,train,0.5431814967328217,47718.11147368421,9993484608.004396,True
data_Castelló.parquet,validation,0.6204336031630701,51551.42065868263,9402711034.05647,True
data_Cádiz.parquet,train,0.679353057370968,62078.25454545455,17231492943.682774,True
data_Cádiz.parquet,validation,0.5284317358076533,150183.33664,193985384886.88,True
data_Girona.parquet,train,0.4989863668531098,107845.97319985571,48713849077.41614,True
data_Girona.parquet,validation,0.5846329556505624,110361.5650900901,129575639247.545,True
data_Granada.parquet,train,0.6698531416966921,49731.880000000005,7507224088.193649,True
data_Granada.parquet,validation,0.577599904959974,62322.454512195116,10791779637.08449,True
data_Illes Balears.parquet,train,0.4982564051123821,322997.5027118644,1115659103724.5457,True
data_Illes Balears.parquet,validation,0.7305666653629271,271939.04808510636,189601567571.23276,True
data_Madrid.parquet,train,0.7221558998711025,131080.72869757868,131879356122.512,True
data_Madrid.parquet,validation,0.7844341783019634,122710.44914401571,77412489792.15697,True
data_Murcia.parquet,train,0.5627371071134009,48130.228514285714,9551554052.51209,True
data_Murcia.parquet,validation,0.6574392769706561,47050.58698484849,4876669417.40252,True
data_Málaga.parquet,train,0.47469182926831754,228926.61195544293,1229856990820.1685,True
data_Málaga.parquet,validation,0.5982791311804976,181944.12208771933,177465151287.14963,True
data_Santa Cruz de Tenerife.parquet,train,0.3857697985432986,234995.5509473684,184773056873.61426,True
data_Santa Cruz de Tenerife.parquet,validation,0.46219666740525756,249681.59591836733,750728594880.5359,True
data_Sevilla.parquet,train,0.7853112433497078,53204.48752212388,7226545290.570196,True
data_Sevilla.parquet,validation,0.47854318313970734,72822.22252427184,35316498315.96417,True
data_Tarragona.parquet,train,0.49886831023778544,61025.39087431694,11981728727.383001,True
data_Tarragona.parquet,validation,0.6032998401084584,57786.42946188342,8754594996.820833,True
data_València.parquet,train,0.6980584923909878,68855.80491869918,15967037995.52311,True
data_València.parquet,validation,0.7379254800393642,56479.09450065313,9989750484.417946,True
data_Alacant.parquet,train,0.562266762435583,97710.87763172726,52024993993.415245,False
data_Alacant.parquet,validation,0.6834406054187847,154432.7510495238,179875619455.1234,False
data_Almería.parquet,train,0.6245019596234184,45319.7453783231,4756061495.736284,False
data_Almería.parquet,validation,0.6323849866368596,64854.46136253042,13242152580.17067,False
data_Barcelona.parquet,train,0.6989591786972071,66675.14858333334,22283511410.74936,False
data_Barcelona.parquet,validation,0.552908379585292,77355.34668252367,57501219735.2113,False
data_Cantabria.parquet,train,0.5393568569539564,68733.64984718093,24220296027.06051,False
data_Cantabria.parquet,validation,0.682637476237757,63815.970296610176,10959611103.117233,False
data_Castelló.parquet,train,0.6418261798599028,46532.841854497354,6660602124.364932,False
data_Castelló.parquet,validation,0.5050051300868781,43273.31554285715,4593004699.304757,False
data_Cádiz.parquet,train,0.7502180044773572,75155.47940047961,27607537093.28186,False
data_Cádiz.parquet,validation,0.1885190003207594,104137.52244444445,93246865188.6107,False
data_Girona.parquet,train,0.6392993001396274,107513.5235879302,51742691549.351524,False
data_Girona.parquet,validation,0.30447743967845964,152036.84849593494,402888484636.6237,False
data_Granada.parquet,train,0.5604433994432982,56560.452797927464,10602837167.677952,False
data_Granada.parquet,validation,0.40313309929216257,50682.980158730155,7180929826.399683,False
data_Illes Balears.parquet,train,0.6894563009587713,248938.1975,161387940171.32187,False
data_Illes Balears.parquet,validation,0.32901211324164104,435265.19693877554,1932381326933.7896,False
data_Madrid.parquet,train,0.8397222154570149,112792.15561348872,53319826088.446815,False
data_Madrid.parquet,validation,0.7897618311453477,124403.45184981685,86752998644.34937,False
data_Murcia.parquet,train,0.3795959538589231,57968.359727891155,22089734029.08409,False
data_Murcia.parquet,validation,0.6162373402449383,48570.192491460715,5209135761.59114,False
data_Málaga.parquet,train,0.7473467918017294,166233.44522522524,120201192415.84529,False
data_Málaga.parquet,validation,0.7684433214804091,159910.3237195634,109027121911.7871,False
data_Santa Cruz de Tenerife.parquet,train,0.6209119007652959,187859.00010416665,102364378509.63936,False
data_Santa Cruz de Tenerife.parquet,validation,0.3928333605489195,293706.33866666665,893892828370.2418,False
data_Sevilla.parquet,train,0.5582498980007122,51526.77724770641,6076682085.101993,False
data_Sevilla.parquet,validation,0.5567951347653274,80651.28669642856,30380040245.32857,False
data_Tarragona.parquet,train,0.5883934484277717,67570.42371959942,12782732455.886208,False
data_Tarragona.parquet,validation,0.6139332976220293,56580.26301310044,8000682771.474192,False
data_València.parquet,train,0.6573873448702299,63551.040321489,13638640256.129747,False
data_València.parquet,validation,0.7049717111145356,62836.6134079602,12480889095.467691,False
